timestamp,delta_w,direction
2013-06-07 00:01:37+05:30,496.1134948730469,rising
2013-06-07 00:03:34+05:30,-30.365203857421875,falling
2013-06-07 00:18:05+05:30,480.33447265625,rising
2013-06-07 00:21:17+05:30,801.01806640625,rising
2013-06-07 00:21:22+05:30,56.261474609375,rising
2013-06-07 00:27:25+05:30,90.53955078125,rising
2013-06-07 00:30:03+05:30,30.128662109375,rising
2013-06-07 00:33:48+05:30,432.464599609375,rising
2013-06-07 00:49:16+05:30,329.455322265625,rising
2013-06-07 00:55:02+05:30,31.885498046875,rising
2013-06-07 00:57:08+05:30,-37.48974609375,falling
2013-06-07 01:01:36+05:30,-188.000732421875,falling
2013-06-07 01:04:13+05:30,-219.55859375,falling
2013-06-07 01:11:17+05:30,-98.8671875,falling
2013-06-07 01:18:33+05:30,115.614501953125,rising
2013-06-07 01:25:27+05:30,-96.892822265625,falling
2013-06-07 01:39:13+05:30,-59.362060546875,falling
2013-06-07 01:41:01+05:30,-1661.500244140625,falling
2013-06-07 01:46:42+05:30,352.3169250488281,rising
2013-06-07 01:53:03+05:30,-109.847900390625,falling
2013-06-07 02:00:51+05:30,510.0128173828125,rising
2013-06-07 02:07:01+05:30,-91.35400390625,falling
2013-06-07 02:14:46+05:30,-329.5455017089844,falling
2013-06-07 02:20:51+05:30,-67.83688354492188,falling
2013-06-07 02:28:53+05:30,481.58251953125,rising
2013-06-07 02:34:14+05:30,-109.95309448242188,falling
2013-06-07 02:42:13+05:30,65.41485595703125,rising
2013-06-07 02:47:58+05:30,-55.934661865234375,falling
2013-06-07 02:56:13+05:30,491.9910888671875,rising
2013-06-07 02:57:00+05:30,-62.40802001953125,falling
2013-06-07 02:57:07+05:30,170.78199768066406,rising
2013-06-07 03:01:51+05:30,-72.93820190429688,falling
2013-06-07 03:10:13+05:30,335.2132873535156,rising
2013-06-07 03:16:08+05:30,-55.17950439453125,falling
2013-06-07 03:24:38+05:30,71.251220703125,rising
2013-06-07 03:30:10+05:30,-85.435302734375,falling
2013-06-07 03:38:40+05:30,504.58990478515625,rising
2013-06-07 03:44:13+05:30,-55.281463623046875,falling
2013-06-07 03:52:54+05:30,521.586669921875,rising
2013-06-07 04:07:07+05:30,-437.6667175292969,falling
2013-06-07 04:12:32+05:30,-112.62710571289062,falling
2013-06-07 04:21:38+05:30,565.162841796875,rising
2013-06-07 04:27:02+05:30,-102.40643310546875,falling
2013-06-07 04:36:05+05:30,591.572998046875,rising
2013-06-07 04:41:29+05:30,-77.64108276367188,falling
2013-06-07 04:50:34+05:30,65.08212280273438,rising
2013-06-07 04:55:36+05:30,-109.24783325195312,falling
2013-06-07 05:04:45+05:30,469.6414794921875,rising
2013-06-07 05:09:31+05:30,-60.02099609375,falling
2013-06-07 05:15:59+05:30,61.555908203125,rising
2013-06-07 05:18:17+05:30,-105.67160034179688,falling
